Platform: Windows | torch main-process threads: 5 | cpu_count: 6
Environment check completed in 0.01s
run_dir: trained\20260715_132120\smart_cuda_brake2
vec_env: DummyVecEnv
net_arch: [256, 256] | train_freq: 1 | gradient_steps: -1
arch: smart | features_dim: 256 | n_blocks: 2 | activation: relu | head net_arch: [256, 256]
    ep | steps |    reward |    r_pos |   r_fuel |   r_term |    noise |  dv/ref |  cur_d | docked | cur_prog |    ms/ep
   770 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1497 |    0.98 |   30.0 |   0.0% |      0/8 |    360.4
   780 |     2 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1497 |    1.73 |   30.0 |  10.0% |     1/18 |    353.7
   790 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1497 |    1.48 |   30.0 |  10.0% |      1/6 |    353.0
   800 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1497 |    1.76 |   30.0 |   0.0% |     1/17 |      3.6
   810 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1497 |    1.41 |   30.0 |   0.0% |      0/5 |      3.6
   820 |     3 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1497 |    3.49 |   30.0 |   0.0% |     0/11 |     10.6
   830 |     3 |    284.17 |     8.34 |   195.80 |    80.03 |   0.1497 |    2.55 |   30.0 |  10.0% |      0/0 |     10.8
   840 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1497 |    1.06 |   30.0 |   0.0% |     1/13 |      7.1
   850 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1497 |    1.54 |   30.0 |   0.0% |      0/0 |      3.9
   860 |     2 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1497 |    2.12 |   30.0 |  10.0% |     1/10 |      7.7
   870 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1497 |    1.22 |   30.0 |  20.0% |      0/0 |      3.9
   880 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1497 |    1.33 |   30.0 |   0.0% |     0/10 |      3.5
   890 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1497 |    1.61 |   30.0 |  20.0% |      0/0 |      3.4
   900 |     2 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1497 |    1.57 |   30.0 |  20.0% |     2/11 |    340.0
   910 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1497 |    1.39 |   30.0 |  30.0% |      0/0 |    325.1
   920 |     2 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1497 |    3.19 |   30.0 |  10.0% |     1/10 |      7.0
   930 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1497 |    1.65 |   30.0 |   0.0% |      0/0 |      3.8
   940 |     2 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1497 |    2.53 |   30.0 |   0.0% |      0/8 |      7.1
   950 |     2 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1497 |    3.31 |   30.0 |  10.0% |      0/0 |      7.0
   960 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1497 |    1.09 |   30.0 |  20.0% |     2/10 |      3.4
   970 |     2 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1497 |    1.92 |   30.0 |   0.0% |     2/17 |      6.6
   980 |     2 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1497 |    1.82 |   30.0 |   0.0% |      0/6 |      6.7
   990 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1496 |    1.86 |   30.0 |  10.0% |     1/18 |    365.4
  1000 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1496 |    0.68 |   30.0 |  10.0% |      1/6 |      3.5
  1010 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1496 |    2.78 |   30.0 |   0.0% |     1/18 |     12.2
  1020 |     3 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1496 |    4.28 |   30.0 |   0.0% |      0/8 |     10.4
  1030 |     2 |    -10.11 |   -10.11 |     0.00 |     0.00 |   0.1496 |    2.34 |   30.0 |   0.0% |     0/16 |      6.5
  1040 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1496 |    1.47 |   30.0 |   0.0% |      0/7 |      3.2
  1050 |     2 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1496 |    2.78 |   30.0 |  10.0% |     1/17 |      7.2
  1060 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1496 |    0.70 |   30.0 |  10.0% |      0/5 |    351.5
  1070 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1496 |    1.30 |   30.0 |   0.0% |     0/12 |      3.9
  1080 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1496 |    2.95 |   30.0 |   0.0% |      0/3 |      7.0
  1090 |     1 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1496 |    1.59 |   30.0 |   0.0% |     0/13 |    341.4
  1100 |     2 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1496 |    2.66 |   30.0 |  10.0% |      0/2 |      7.7
  1110 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1496 |    1.32 |   30.0 |   0.0% |      0/9 |      4.0
[throughput]       2004 timesteps |    229.0 steps/s |   4.37 ms/step
  1120 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1496 |    1.18 |   30.0 |  10.0% |      0/0 |      4.0
  1130 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1496 |    1.51 |   30.0 |   0.0% |     0/11 |    325.4
  1140 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1496 |    1.36 |   30.0 |   0.0% |      0/0 |      3.4
  1150 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1496 |    1.63 |   30.0 |  10.0% |     1/10 |      3.1
  1160 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1496 |    1.09 |   30.0 |   0.0% |     1/19 |    345.5
  1170 |     2 |    276.14 |     8.34 |   208.75 |    59.05 |   0.1496 |    2.40 |   30.0 |  10.0% |      0/6 |      7.6
  1180 |     2 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1496 |    1.73 |   30.0 |  10.0% |     2/18 |    317.8
  1190 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1496 |    1.62 |   30.0 |  10.0% |      1/4 |      3.5
  1200 |     2 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1496 |    2.28 |   30.0 |  10.0% |     2/17 |      6.9
  1210 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1496 |    1.56 |   30.0 |   0.0% |      0/6 |      3.1
  1220 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1496 |    0.76 |   30.0 |  10.0% |     1/14 |      3.5
  1230 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1496 |    0.56 |   30.0 |  10.0% |      1/3 |      3.2
  1240 |     2 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1496 |    2.32 |   30.0 |   0.0% |     1/14 |      6.9
  1250 |     2 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1496 |    2.13 |   30.0 |  10.0% |      0/2 |      7.2
  1260 |     1 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1495 |    1.43 |   30.0 |   0.0% |     0/10 |      3.7
  1270 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1495 |    1.52 |   30.0 |   0.0% |     0/19 |      4.5
  1280 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1495 |    1.66 |   30.0 |   0.0% |      0/7 |      3.6
  1290 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1495 |    1.33 |   30.0 |   0.0% |     0/18 |      3.2
  1300 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1495 |    0.92 |   30.0 |   0.0% |      0/5 |      3.8
  1310 |     3 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1495 |    2.81 |   30.0 |   0.0% |     0/19 |     11.0
  1320 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1495 |    1.54 |   30.0 |  20.0% |      1/6 |      3.7
  1330 |     3 |    188.98 |     8.34 |   116.88 |    63.77 |   0.1495 |    4.28 |   30.0 |  20.0% |     2/16 |     10.0
  1340 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1495 |    0.87 |   30.0 |  20.0% |      1/4 |      3.3
  1350 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1495 |    0.94 |   30.0 |   0.0% |     1/15 |      3.5
  1360 |     3 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1495 |    3.99 |   30.0 |  10.0% |      0/4 |     11.3
  1370 |     2 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1495 |    2.64 |   30.0 |   0.0% |     0/15 |      6.7
  1380 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1495 |    1.19 |   30.0 |   0.0% |      0/0 |      3.7
  1390 |     2 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1495 |    2.20 |   30.0 |  10.0% |      1/8 |      6.2
  1400 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1495 |    1.45 |   30.0 |   0.0% |      0/0 |      4.1
  1410 |     1 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1495 |    1.74 |   30.0 |   0.0% |      0/7 |      4.0
  1420 |     3 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1495 |    3.79 |   30.0 |  10.0% |      0/0 |     10.3
  1430 |     3 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1495 |    2.82 |   30.0 |  20.0% |      2/9 |     10.3
  1440 |     2 |    468.31 |     8.34 |   359.21 |   100.76 |   0.1495 |    1.39 |   30.0 |  10.0% |      0/0 |      6.5
  1450 |     2 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1495 |    1.02 |   30.0 |   0.0% |      1/7 |      7.8
  1460 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1495 |    1.24 |   30.0 |  20.0% |      0/0 |      3.9
  1470 |     2 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1495 |    3.31 |   30.0 |   0.0% |      0/9 |      7.4
  1480 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1495 |    1.14 |   30.0 |  20.0% |      0/0 |      4.0
  1490 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1495 |    1.54 |   30.0 |   0.0% |      0/8 |      3.5
  1500 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1495 |    1.62 |   30.0 |   0.0% |     0/18 |      7.4
  1510 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1495 |    3.47 |   30.0 |   0.0% |      0/8 |      8.3
  1520 |     1 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1495 |    1.04 |   30.0 |  10.0% |     1/18 |    312.6
  1530 |     1 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1495 |    1.44 |   30.0 |  10.0% |      1/6 |      3.7
  1540 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1495 |    1.40 |   30.0 |  10.0% |     2/16 |      3.6
  1550 |     2 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1494 |    2.72 |   30.0 |  10.0% |      1/7 |      6.9
  1560 |     2 |    -10.09 |   -10.09 |     0.00 |     0.00 |   0.1494 |    2.55 |   30.0 |   0.0% |     1/18 |      7.5
  1570 |     1 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1494 |    1.55 |   30.0 |  10.0% |      0/5 |      3.2
  1580 |     3 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1494 |    3.75 |   30.0 |  20.0% |     3/16 |     10.4
  1590 |     1 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1494 |    1.39 |   30.0 |   0.0% |      0/7 |      3.3
  1600 |     2 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1494 |    1.58 |   30.0 |   0.0% |     0/14 |      7.9
  1610 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1494 |    1.76 |   30.0 |   0.0% |      0/0 |      4.1
  1620 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1494 |    1.25 |   30.0 |   0.0% |     0/14 |    310.8
  1630 |     2 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1494 |    1.86 |   30.0 |   0.0% |      0/2 |      6.8
  1640 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1494 |    1.16 |   30.0 |   0.0% |     0/10 |      3.9
  1650 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1494 |    2.53 |   30.0 |   0.0% |      0/0 |      7.9
  1660 |     2 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1494 |    2.31 |   30.0 |   0.0% |     0/12 |    332.5
  1670 |     2 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1494 |    2.48 |   30.0 |   0.0% |      0/0 |      7.2
  1680 |     2 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1494 |    1.68 |   30.0 |  10.0% |     1/12 |      6.9
  1690 |     2 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1494 |    2.47 |   30.0 |  10.0% |      0/0 |    337.1
  1700 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1494 |    1.56 |   30.0 |  10.0% |      0/9 |      3.2
  1710 |     2 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1494 |    1.88 |   30.0 |   0.0% |      0/0 |      8.0
