Platform: Windows | torch main-process threads: 5 | cpu_count: 6
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:317: UserWarning: WARN: A Box observation space minimum value is -infinity. This is probably too low.
  logger.warn(
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:321: UserWarning: WARN: A Box observation space maximum value is infinity. This is probably too high.
  logger.warn(
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:440: UserWarning: WARN: Not able to test alternative render modes due to the environment not having a spec. Try instantiating the environment through `gymnasium.make`
  logger.warn(
Environment check completed in 0.04s
run_dir: trained\20260715_122429\smart_cuda_brake
vec_env: DummyVecEnv
net_arch: [256, 256] | train_freq: 1 | gradient_steps: -1
arch: smart | features_dim: 256 | n_blocks: 2 | activation: relu | head net_arch: [256, 256]
    ep | steps |    reward |    r_pos |   r_fuel |   r_term |    noise |  dv/ref |  cur_d | docked | cur_prog |    ms/ep
  1030 |     2 |    -10.13 |   -10.13 |     0.00 |     0.00 |   0.1496 |    3.42 |   30.0 |  10.0% |     0/18 |     97.4
  1040 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1496 |    3.68 |   30.0 |  10.0% |      0/6 |    108.4
  1050 |     2 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1496 |    2.39 |   30.0 |   0.0% |     1/18 |    100.3
  1060 |     4 |    149.45 |     8.34 |    82.92 |    58.19 |   0.1496 |    6.03 |   30.0 |  10.0% |      0/7 |    451.6
  1070 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1496 |    2.17 |   30.0 |   0.0% |     1/15 |    102.2
  1080 |     1 |    -10.10 |   -10.10 |     0.00 |     0.00 |   0.1496 |    1.98 |   30.0 |   0.0% |      0/7 |     59.3
  1090 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1496 |    2.06 |   30.0 |  10.0% |     1/17 |     34.4
  1100 |     2 |    -10.11 |   -10.11 |     0.00 |     0.00 |   0.1496 |    2.33 |   30.0 |   0.0% |      0/7 |    113.4
  1110 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1496 |    1.26 |   30.0 |   0.0% |     0/15 |     64.7
  1120 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1496 |    1.18 |   30.0 |   0.0% |      0/5 |    126.8
  1130 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1496 |    1.42 |   30.0 |   0.0% |     0/16 |    326.1
  1140 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1496 |    1.56 |   30.0 |   0.0% |      0/7 |     74.2
[throughput]       2004 timesteps |     91.6 steps/s |  10.92 ms/step
  1150 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1496 |    3.10 |   30.0 |  10.0% |     1/17 |    129.3
  1160 |     4 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1496 |    4.62 |   30.0 |   0.0% |      0/3 |    220.8
  1170 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1496 |    0.41 |   30.0 |  10.0% |     1/14 |     45.2
  1180 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1496 |    0.71 |   30.0 |  10.0% |      0/2 |     41.7
  1190 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1496 |    1.53 |   30.0 |   0.0% |     0/12 |     74.5
  1200 |     1 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1496 |    1.29 |   30.0 |   0.0% |     0/19 |     87.4
  1210 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1496 |    0.59 |   30.0 |  30.0% |      3/8 |    333.7
  1220 |     3 |    -10.11 |   -10.11 |     0.00 |     0.00 |   0.1496 |    3.87 |   30.0 |   0.0% |     3/17 |    154.9
  1230 |     1 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1496 |    1.09 |   30.0 |   0.0% |      0/7 |    329.5
  1240 |     1 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1496 |    1.39 |   30.0 |   0.0% |     0/18 |     70.0
  1250 |     2 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1496 |    2.16 |   30.0 |   0.0% |      0/2 |    115.4
  1260 |     3 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1496 |    4.16 |   30.0 |  10.0% |     0/13 |    163.6
  1270 |     2 |    322.51 |     8.34 |   254.14 |    60.03 |   0.1496 |    1.97 |   30.0 |  10.0% |      0/3 |     74.5
  1280 |     2 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1496 |    2.74 |   30.0 |   0.0% |     1/14 |    404.3
  1290 |     3 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1495 |    2.81 |   30.0 |   0.0% |      0/3 |    482.7
  1300 |     2 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1495 |    3.31 |   30.0 |   0.0% |     0/13 |    494.8
  1310 |     2 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1495 |    1.97 |   30.0 |   0.0% |      0/2 |    105.7
  1320 |     2 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1495 |    1.98 |   30.0 |  10.0% |      0/9 |     95.6
  1330 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1495 |    2.89 |   30.0 |   0.0% |      0/0 |    113.7
  1340 |     5 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1495 |    5.67 |   30.0 |  10.0% |      1/9 |    295.1
  1350 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1495 |    1.49 |   30.0 |   0.0% |      0/0 |     79.1
  1360 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1495 |    1.10 |   30.0 |   0.0% |      0/9 |     35.3
  1370 |     2 |    -10.09 |   -10.09 |     0.00 |     0.00 |   0.1495 |    2.66 |   30.0 |   0.0% |      0/0 |     99.1
  1380 |     2 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1495 |    3.18 |   30.0 |   0.0% |     0/10 |    103.1
  1390 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1495 |    1.38 |   30.0 |   0.0% |     0/17 |     53.2
  1400 |     3 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1495 |    2.35 |   30.0 |   0.0% |      0/8 |    181.2
  1410 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1495 |    0.43 |   30.0 |   0.0% |     0/16 |     74.6
  1420 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1495 |    1.32 |   30.0 |  20.0% |      1/5 |     43.8
  1430 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1495 |    1.20 |   30.0 |   0.0% |     1/17 |     58.7
  1440 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1495 |    1.59 |   30.0 |   0.0% |      0/5 |     48.5
  1450 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1495 |    3.07 |   30.0 |   0.0% |     0/17 |    140.6
  1460 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1495 |    2.04 |   30.0 |  20.0% |      1/3 |     69.4
  1470 |     2 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1495 |    2.14 |   30.0 |  20.0% |     3/13 |    423.5
  1480 |     2 |    324.78 |     8.34 |   253.86 |    62.58 |   0.1495 |    1.97 |   30.0 |  20.0% |      1/2 |     99.8
  1490 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1495 |    1.21 |   30.0 |  20.0% |     4/14 |     73.8
  1500 |     2 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1495 |    1.73 |   30.0 |   0.0% |      0/2 |    135.2
  1510 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1495 |    1.33 |   30.0 |  10.0% |     1/11 |     50.0
